Altium Designer Pick and Place Locations
F:\Project\Altium\Project\fly\Project Outputs for fly\Pick Place for fly_panel.txt

========================================================================================================================
File Design Information:

Date:       29/03/24
Time:       12:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment              Layer       Footprint      Center-X(mil) Center-Y(mil) Rotation 
C6         104                  TopLayer    C_0603         784.331       1240.315      180      
Y2         16MHZ                TopLayer    OSC_3225-4P    706.000       587.000       270      
Y1         8MHZ                 TopLayer    Y3213          569.000       940.000       90       
VBAT1      DC4.2V               BottomLayer HDR2.54-WI-2P  598.000       1872.000      360      
U5         662K                 TopLayer    SOT23-PIN132   1587.559      1315.402      270      
U4         BL8530               TopLayer    SOT-89         1172.052      1437.000      90       
U3         NRF24L01             TopLayer    LQFP32         984.252       590.551       270      
U2         MPU6050              TopLayer    QFN24          594.331       1394.315      270      
U1         STM32F103C8T6_LQFP48 TopLayer    LQFP48_STM32   984.252       984.252       0        
R15        22k                  TopLayer    R_0603         1195.000      498.000       360      
R14        1M                   TopLayer    R_0603         809.000       587.000       90       
R13        10K                  TopLayer    R_0603         784.331       1398.032      360      
R12        10K                  TopLayer    R_0603         784.331       1477.717      360      
R11        10K                  TopLayer    R_0603         594.000       1111.000      180      
R10        1K                   TopLayer    R_0603         1566.929      139.504       270      
R9         1K                   TopLayer    R_0603         1566.929      1829.000      90       
R8         1K                   TopLayer    R_0603         401.575       1829.000      90       
R7         10K                  TopLayer    R_0603         401.575       254.000       270      
R4         10K                  TopLayer    R_0603         401.575       1714.504      90       
R3         10K                  TopLayer    R_0603         1566.929      1714.504      90       
R2         10K                  TopLayer    R_0603         1566.929      254.000       270      
R1         1K                   TopLayer    R_0603         401.575       139.504       270      
Q4         SI2302               TopLayer    SOT23          295.276       1813.091      90       
Q3         SI2302               TopLayer    SOT23          1673.228      1813.091      270      
Q2         SI2302               TopLayer    SOT23          1673.228      155.413       270      
Q1         SI2302               TopLayer    SOT23          295.276       155.413       90       
M4         720                  TopLayer    HDR2.54-LI-2P  157.480       1771.653      90       
M3         720                  TopLayer    HDR2.54-LI-2P  1811.024      1771.653      90       
M2         720                  TopLayer    HDR2.54-LI-2P  157.480       196.850       270      
M1         720                  TopLayer    HDR2.54-LI-2P  1811.024      196.850       270      
L4         2.7nH                TopLayer    L_0603         914.000       374.016       0        
L3         3.9nH                TopLayer    L_0603         1054.000      374.016       0        
L2         8.2nH                TopLayer    L_0603         984.252       433.071       0        
L1         47uH                 TopLayer    L_CD43         1156.102      1672.000      0        
KG1        SW-SPDT              TopLayer    TPKG           984.000       1871.000      180      
J2         "12P 2.54MM"         TopLayer    HDR2.54-LI-12P 1811.024      984.252       90       
J1         "12P 2.54MM"         TopLayer    HDR2.54-LI-12P 157.480       984.252       90       
F1         1A                   TopLayer    FU_0805        791.000       1725.000      360      
D5         S4                   TopLayer    SOD-123        1340.000      1429.000      270      
D4         B_LED                TopLayer    LED0603        295.276       1693.216      0        
D3         B_LED                TopLayer    LED0603        1673.228      1693.216      180      
D2         R_LED                TopLayer    LED0603        295.276       275.287       0        
D1         R_LED                TopLayer    LED0603        1673.228      275.287       180      
C29        104                  TopLayer    C_0603         1195.000      559.769       180      
C28        4.7uF                TopLayer    C_0603         1195.000      619.885       180      
C27        33nF                 TopLayer    C_0603         1195.000      680.000       180      
C26        4.7pF                TopLayer    C_0603         706.465       354.000       180      
C25        22pF                 TopLayer    C_0603         706.465       414.831       180      
C24        47uF                 TopLayer    C_1206         1340.000      1193.706      270      
C23        20pF                 TopLayer    C_0603         706.465       475.661       180      
C21        20pF                 TopLayer    C_0603         706.465       699.661       180      
C20        1pF                  TopLayer    C_0603         1247.000      394.000       270      
C19        104                  TopLayer    C_0603         1542.000      1157.669      90       
C18        104                  TopLayer    C_0603         1242.000      1194.000      270      
C17        47uF                 TopLayer    C_1206         1452.047      1193.706      270      
C16        1.5pF                TopLayer    C_0603         1188.000      394.000       270      
C15        47uF                 TopLayer    C_1206         1451.000      1439.171      90       
C14        20PF                 TopLayer    C_0603         594.000       1045.000      180      
C13        104                  TopLayer    C_0603         594.000       1174.734      180      
C12        20PF                 TopLayer    C_0603         594.000       836.000       360      
C11        104                  TopLayer    C_0603         59.055        196.850       90       
C10        104                  TopLayer    C_0603         59.055        1771.653      270      
C9         104                  TopLayer    C_0603         1909.449      1771.653      270      
C8         104                  TopLayer    C_0603         1909.449      196.850       90       
C7         0.01uF               TopLayer    C_0603         422.000       1459.000      270      
C5         104                  TopLayer    C_0603         422.000       1330.000      90       
C4         104                  TopLayer    C_0603         1542.000      1475.208      270      
C3         104                  TopLayer    C_0603         594.000       1240.000      360      
C2         104                  TopLayer    C_0603         630.000       941.000       270      
C1         2.2nF                TopLayer    C_0603         784.331       1320.000      360      
ATN1       ANT2.4G              TopLayer    ANT2.4G_1      1240.000      344.000       180      
C6         104                  TopLayer    C_0603         2752.835      1240.315      180      
Y2         16MHZ                TopLayer    OSC_3225-4P    2674.504      587.000       270      
Y1         8MHZ                 TopLayer    Y3213          2537.504      940.000       90       
VBAT1      DC4.2V               BottomLayer HDR2.54-WI-2P  2566.504      1872.000      360      
U5         662K                 TopLayer    SOT23-PIN132   3556.063      1315.402      270      
U4         BL8530               TopLayer    SOT-89         3140.556      1437.000      90       
U3         NRF24L01             TopLayer    LQFP32         2952.756      590.551       270      
U2         MPU6050              TopLayer    QFN24          2562.835      1394.315      270      
U1         STM32F103C8T6_LQFP48 TopLayer    LQFP48_STM32   2952.756      984.252       0        
R15        22k                  TopLayer    R_0603         3163.504      498.000       360      
R14        1M                   TopLayer    R_0603         2777.504      587.000       90       
R13        10K                  TopLayer    R_0603         2752.835      1398.032      360      
R12        10K                  TopLayer    R_0603         2752.835      1477.717      360      
R11        10K                  TopLayer    R_0603         2562.504      1111.000      180      
R10        1K                   TopLayer    R_0603         3535.433      139.504       270      
R9         1K                   TopLayer    R_0603         3535.433      1829.000      90       
R8         1K                   TopLayer    R_0603         2370.079      1829.000      90       
R7         10K                  TopLayer    R_0603         2370.079      254.000       270      
R4         10K                  TopLayer    R_0603         2370.079      1714.504      90       
R3         10K                  TopLayer    R_0603         3535.433      1714.504      90       
R2         10K                  TopLayer    R_0603         3535.433      254.000       270      
R1         1K                   TopLayer    R_0603         2370.079      139.504       270      
Q4         SI2302               TopLayer    SOT23          2263.780      1813.091      90       
Q3         SI2302               TopLayer    SOT23          3641.732      1813.091      270      
Q2         SI2302               TopLayer    SOT23          3641.732      155.413       270      
Q1         SI2302               TopLayer    SOT23          2263.780      155.413       90       
M4         720                  TopLayer    HDR2.54-LI-2P  2125.984      1771.653      90       
M3         720                  TopLayer    HDR2.54-LI-2P  3779.528      1771.653      90       
M2         720                  TopLayer    HDR2.54-LI-2P  2125.984      196.850       270      
M1         720                  TopLayer    HDR2.54-LI-2P  3779.528      196.850       270      
L4         2.7nH                TopLayer    L_0603         2882.504      374.016       0        
L3         3.9nH                TopLayer    L_0603         3022.504      374.016       0        
L2         8.2nH                TopLayer    L_0603         2952.756      433.071       0        
L1         47uH                 TopLayer    L_CD43         3124.606      1672.000      0        
KG1        SW-SPDT              TopLayer    TPKG           2952.504      1871.000      180      
J2         "12P 2.54MM"         TopLayer    HDR2.54-LI-12P 3779.528      984.252       90       
J1         "12P 2.54MM"         TopLayer    HDR2.54-LI-12P 2125.984      984.252       90       
F1         1A                   TopLayer    FU_0805        2759.504      1725.000      360      
D5         S4                   TopLayer    SOD-123        3308.504      1429.000      270      
D4         B_LED                TopLayer    LED0603        2263.780      1693.216      0        
D3         B_LED                TopLayer    LED0603        3641.732      1693.216      180      
D2         R_LED                TopLayer    LED0603        2263.780      275.287       0        
D1         R_LED                TopLayer    LED0603        3641.732      275.287       180      
C29        104                  TopLayer    C_0603         3163.504      559.769       180      
C28        4.7uF                TopLayer    C_0603         3163.504      619.885       180      
C27        33nF                 TopLayer    C_0603         3163.504      680.000       180      
C26        4.7pF                TopLayer    C_0603         2674.969      354.000       180      
C25        22pF                 TopLayer    C_0603         2674.969      414.831       180      
C24        47uF                 TopLayer    C_1206         3308.504      1193.706      270      
C23        20pF                 TopLayer    C_0603         2674.969      475.661       180      
C21        20pF                 TopLayer    C_0603         2674.969      699.661       180      
C20        1pF                  TopLayer    C_0603         3215.504      394.000       270      
C19        104                  TopLayer    C_0603         3510.504      1157.669      90       
C18        104                  TopLayer    C_0603         3210.504      1194.000      270      
C17        47uF                 TopLayer    C_1206         3420.551      1193.706      270      
C16        1.5pF                TopLayer    C_0603         3156.504      394.000       270      
C15        47uF                 TopLayer    C_1206         3419.504      1439.171      90       
C14        20PF                 TopLayer    C_0603         2562.504      1045.000      180      
C13        104                  TopLayer    C_0603         2562.504      1174.734      180      
C12        20PF                 TopLayer    C_0603         2562.504      836.000       360      
C11        104                  TopLayer    C_0603         2027.559      196.850       90       
C10        104                  TopLayer    C_0603         2027.559      1771.653      270      
C9         104                  TopLayer    C_0603         3877.953      1771.653      270      
C8         104                  TopLayer    C_0603         3877.953      196.850       90       
C7         0.01uF               TopLayer    C_0603         2390.504      1459.000      270      
C5         104                  TopLayer    C_0603         2390.504      1330.000      90       
C4         104                  TopLayer    C_0603         3510.504      1475.208      270      
C3         104                  TopLayer    C_0603         2562.504      1240.000      360      
C2         104                  TopLayer    C_0603         2598.504      941.000       270      
